name,male_cnt,female_cnt
Alano,92,0
Alantae,5,0
Alante,152,21
Alanzo,164,0
Alaric,776,0
Alarick,10,0
Alarik,58,0
Alasdair,188,0
Alassane,91,0
Alastair,384,0
Alastar,10,0
Alaster,44,0
Alastor,20,0
Alay,6,0
Alaye,5,0
Alayn,11,0
Alazar,89,0
Alban,200,0
Albara,6,0
Albaraa,46,0
Albaro,148,0
Albeiro,83,0
Alben,10,0
Alber,20,0
Albert,12598,6
Alberth,52,0
Albertjames,5,0
Alberto,13917,15
Albi,91,0
Albie,15,0
Albieri,12,0
Albieris,5,0
Albiery,8,0
Albin,241,0
Albino,140,0
Albion,137,0
Alcide,7,0
Alcides,117,0
Aldahir,191,0
Aldair,779,0
Aldan,94,0
Aldayshein,6,0
Aldean,5,0
Alden,3730,388
Alder,282,6
Aldhair,7,0
Aldin,405,0
Aldo,6620,0
Aldolfo,10,0
Aldon,229,0
Aldous,47,0
Aldren,11,0
Aldric,131,0
Aldrich,128,0
Aldrick,87,0
Aldrik,5,0
Aldrin,230,0
Aldwin,34,0
Aldyn,53,31
Ale,8,0
Alec,16886,59
Aleck,359,0
Alecsander,95,0
Alecxander,90,0
Alecxis,48,0
Aleczander,703,0
Alee,11,215
Aleem,183,0
Alegandro,119,0
Aleister,169,0
Alejando,6,0
Alejandra,76,19866
Alejandro,57657,177
Alejo,178,0
Alek,2063,51
Alekai,22,0
Alekay,5,0
Aleki,16,0
Alekos,5,0
Aleks,290,0
Aleksa,45,381
Aleksandar,661,0
Aleksander,1844,0
Aleksandr,673,0
Aleksei,243,0
Aleksey,338,0
Aleksi,52,17
Aleksis,5,39
Aleksy,42,0
Alekxander,78,0
Alekzander,675,0
Alekzandr,22,0
Alem,135,0
Alema,6,0
Alen,860,0
Aleph,40,0
Aleric,125,0
Aleron,10,0
Alesander,17,0
Alesandro,177,0
Alessander,71,0
Alessandro,4796,0
Alessio,620,0
Alesso,6,0
Alex,82710,2907
Alexa,135,70229
Alexader,6,0
Alexan,6,0
Alexandar,309,0
Alexander,256440,762
Alexanderjames,63,0
Alexandor,5,0
Alexandr,249,0
Alexandra,183,79121
Alexandre,2049,5
Alexandrew,32,0
Alexandria,43,33585
Alexandro,2808,0
Alexandros,626,0
Alexandru,369,0
Alexavier,1586,0
Alexavior,7,0
Alexcis,11,124
Alexei,535,55
Alexender,27,0
Alexes,79,280
Alexey,265,14
Alexi,714,2038
Alexia,34,27974
Alexian,5,0
Alexie,71,886
Alexiel,5,5
Alexio,79,0
Alexios,82,0
Alexis,35037,159735
Alexiss,8,209
Alexius,26,636
Alexix,5,6
Alexiz,181,168
Alexjandro,37,0
Alexs,29,0
Alexsander,747,0
Alexsandro,204,0
Alexsis,130,446
Alexson,5,0
Alexus,95,8043
Alexx,155,77
Alexxander,151,0
Alexy,147,231
Alexys,278,2578
Alexzandar,6,0
Alexzander,4592,0
Alexzandyr,5,0
Alexzavier,62,0
Alez,5,0
Alezander,108,0
Alezandro,11,0
Alfa,5,21
Alfie,90,0
Alfonso,5919,0
Alfonza,5,0
Alfonzo,542,0
Alford,22,0
